loss,testAccuracy,trainAccuracy
0.6989589333534241,0.2133333384990692,0.5092592835426331
0.6966860890388489,0.1966666728258133,0.5318518280982971
0.6969550848007202,0.21666666865348816,0.5314815044403076
0.6962255835533142,0.20000000298023224,0.5262963175773621
0.6960463523864746,0.25333333015441895,0.5322222113609314
0.6958345174789429,0.2433333396911621,0.5314815044403076
0.6957319974899292,0.23999999463558197,0.5322222113609314
0.6956110596656799,0.23666666448116302,0.5281481742858887
0.6956388354301453,0.25999999046325684,0.5281481742858887
0.695392906665802,0.27000001072883606,0.5281481742858887
0.694770872592926,0.2866666615009308,0.5285184979438782
0.6940056085586548,0.3266666531562805,0.5355555415153503
0.6931824684143066,0.34333333373069763,0.5425925850868225
0.6916528940200806,0.41999998688697815,0.5518518686294556
0.690094530582428,0.5866666436195374,0.5711110830307007
0.6847156882286072,0.6666666865348816,0.5974074006080627
0.6791518926620483,0.6800000071525574,0.6000000238418579
0.6698494553565979,0.7099999785423279,0.6018518805503845
0.6694187521934509,0.746666669845581,0.588518500328064
0.6543872356414795,0.7233333587646484,0.6196296215057373
0.6462463736534119,0.7699999809265137,0.6474074125289917
0.6908263564109802,0.6800000071525574,0.5640740990638733
0.6461106538772583,0.7766666412353516,0.6370370388031006
0.6426690220832825,0.7066666483879089,0.6359259486198425
0.61402428150177,0.746666669845581,0.6714814901351929
0.6199424862861633,0.7233333587646484,0.6803703904151917
0.6184679269790649,0.7566666603088379,0.6770370602607727
0.6054524779319763,0.7400000095367432,0.6885185241699219
0.5896093845367432,0.75,0.7040740847587585
0.5874128937721252,0.7366666793823242,0.7003703713417053
0.5895068645477295,0.7433333396911621,0.7044444680213928
0.5824616551399231,0.7900000214576721,0.7196296453475952
0.5770293474197388,0.7766666412353516,0.7144444584846497
0.5600100159645081,0.7566666603088379,0.7311111092567444
0.5491395592689514,0.7733333110809326,0.7418518662452698
0.5310184955596924,0.8233333230018616,0.75
0.5327088236808777,0.7900000214576721,0.7492592334747314
0.5317372679710388,0.7900000214576721,0.7522222399711609
0.5212188959121704,0.8166666626930237,0.7607407569885254
0.5214311480522156,0.8100000023841858,0.7548148036003113
0.5114379525184631,0.7733333110809326,0.7566666603088379
0.5115885138511658,0.8066666722297668,0.7729629874229431
0.49573853611946106,0.8133333325386047,0.7792592644691467
0.4815914034843445,0.7900000214576721,0.7833333611488342
0.4917345345020294,0.7599999904632568,0.7814815044403076
0.4727770984172821,0.8166666626930237,0.7888888716697693
0.48478394746780396,0.8266666531562805,0.7777777910232544
0.45672157406806946,0.8299999833106995,0.7877777814865112
0.470306396484375,0.7933333516120911,0.7944444417953491
0.45159199833869934,0.8766666650772095,0.8077777624130249
0.4441167414188385,0.8366666436195374,0.804444432258606
0.4369256794452667,0.8233333230018616,0.8118518590927124
0.4230142831802368,0.8433333039283752,0.8199999928474426
0.41971147060394287,0.8366666436195374,0.8248147964477539
0.4303082525730133,0.8833333253860474,0.8114814758300781
0.4073529839515686,0.8999999761581421,0.8262962698936462
0.39790868759155273,0.8666666746139526,0.8199999928474426
0.41261205077171326,0.8366666436195374,0.8288888931274414
0.38116738200187683,0.8600000143051147,0.8451851606369019
0.38251644372940063,0.8666666746139526,0.8396296501159668
0.3638768494129181,0.903333306312561,0.8474074006080627
0.34665176272392273,0.8933333158493042,0.8614814877510071
0.3515584468841553,0.9166666865348816,0.8562963008880615
0.3328845202922821,0.8933333158493042,0.872592568397522
0.34330204129219055,0.8700000047683716,0.8651852011680603
0.31623631715774536,0.9100000262260437,0.8833333253860474
0.3047938048839569,0.9300000071525574,0.8803703784942627
0.30481529235839844,0.9266666769981384,0.8822222352027893
0.2888841927051544,0.9333333373069763,0.8940740823745728
0.2685874402523041,0.9399999976158142,0.9048148393630981
0.2540724575519562,0.9200000166893005,0.9074074029922485
0.26254668831825256,0.9399999976158142,0.9074074029922485
0.22751101851463318,0.9366666674613953,0.9262962937355042
0.22161336243152618,0.9366666674613953,0.9333333373069763
0.205243319272995,0.95333331823349,0.936296284198761
0.19379110634326935,0.9599999785423279,0.9396296143531799
0.17114834487438202,0.95333331823349,0.9525926113128662
0.16850614547729492,0.9866666793823242,0.9496296048164368
0.15438629686832428,0.9700000286102295,0.9566666483879089
0.13730289041996002,0.9766666889190674,0.9655555486679077
0.13340580463409424,0.9700000286102295,0.9677777886390686
0.12422408908605576,0.9866666793823242,0.970370352268219
0.10544486343860626,0.9766666889190674,0.9818518757820129
0.09108147770166397,0.9900000095367432,0.984074056148529
0.08905018866062164,0.996666669845581,0.9837037324905396
0.08037129044532776,1.0,0.9859259128570557
0.0674392357468605,0.9900000095367432,0.9903703927993774
0.07081516832113266,0.996666669845581,0.9918518662452698
0.054575830698013306,0.9866666793823242,0.9977777600288391
0.05420377850532532,1.0,0.9959259033203125
0.05018675699830055,0.996666669845581,0.9974074363708496
0.0429995134472847,0.996666669845581,0.9992592334747314
0.038154587149620056,0.996666669845581,0.9992592334747314
0.035764120519161224,1.0,0.9985185265541077
0.03249092772603035,1.0,0.9992592334747314
0.030241554602980614,0.996666669845581,1.0
0.02761615812778473,1.0,1.0
0.025577262043952942,1.0,1.0
0.022630997002124786,1.0,1.0
0.023231355473399162,1.0,1.0
